Date,International_Reserves_US,CPI_Index_US,Industrial_Production_Index_France,Exchange_Rate_France,International_Reserves_France,CPI_Index_France
1971-05-01,13810.51,18.4815333710913,61.1828072088658,5.55419000455419,5627.5,16.1635960513118
1971-06-01,13503.91,18.6191130239778,63.0618986003583,5.55419000455419,5654.5,16.225339175421
1971-07-01,13282.51,18.6649729082733,56.2195549465542,5.55419000455419,6152.5,16.3025286385472
1971-08-01,12127.81,18.7108327925689,35.7640111576445,5.55419000455419,7628.43,16.3642823206461
1971-09-01,12130.21,18.7108327925689,63.9299571236021,5.55419000455419,7309.97,16.4414717837724
1971-10-01,12145.9,18.7566926768644,65.8601107811677,5.55419000455419,7272.29,16.5341075859156
1971-11-01,12130.3,18.7566926768644,67.381766310148,5.55419000455419,7493.88,16.5958507100248
1971-12-01,12314.5652264574,18.8484124454554,67.4430410294358,5.39112620655513,8253.03957532277,16.673040173151
1972-01-01,13084.0302943402,18.8484124454554,66.4422206144018,5.17357338740616,8410.08517562683,16.7193580742227
1972-02-01,12534.8188508733,18.9401322140464,66.9119934622749,5.08905852443201,8474.71782317759,16.8119833183762
1972-03-01,12475.161720429,18.9859920983419,68.0864255819577,5.0415931436875,8469.08474139198,16.8891727815024
1972-04-01,12472.705664602,19.0318519826374,67.7902644387333,5.03727584147881,8466.98974106617,16.9509264636013
1972-05-01,13344.5165326372,19.077711866933,67.381766310148,5.0140393103196,8476.62977147781,17.0435622657446
1972-06-01,13338.5965500153,19.1235717512285,67.2694293247871,5.01579976952479,9398.41208515218,17.1361875098981
1972-07-01,13089.5908500044,19.2152915198195,58.2109833234077,5.00250125087556,9923.7924120773,17.2751306551233
1972-08-01,13123.150863038,19.261151404115,41.3195857064048,5.00350245196655,9960.55697425825,17.3677558992768
1972-09-01,13216.7965934605,19.3070112884105,67.494103295509,5.00575662036371,10019.121492994,17.4758169244576
1972-10-01,13312.465178233,19.3987310570015,70.7110260581184,5.02361097181873,10015.4951969149,17.63019585071
1972-11-01,13306.3509064832,19.4445909412971,71.9977951631621,5.04057664222192,10018.6546345168,17.7382674338806
1972-12-01,13150.3223521224,19.4904508255926,72.9373408589084,5.08724627359211,10014.6455144994,17.8308926780341
1973-01-01,13053.3395064615,19.5363107098881,71.528022315289,5.08362564206617,10009.5289084388,17.8308926780341
1973-02-01,13195.6212711269,19.6738903627746,73.8053993821521,4.76485443392409,10640.3401908925,17.8772105791057
1973-03-01,13201.4117289419,19.8573298999567,73.8666741014399,4.5063313958139,11181.6271804555,17.9698358232592
1973-04-01,13172.7851531187,19.9949095528432,71.5892970345768,4.55394143652051,11461.316727464,18.0933431874571
1973-05-01,13184.8867274044,20.1324892057297,74.5100586539618,4.4760753773097,11608.5240983286,18.2631578947368
1973-06-01,13183.1597233707,20.2700688586163,73.6930623967911,4.26039536487135,11591.8305704455,18.402101039962
1973-07-01,13187.8644703454,20.3159287429118,63.4091220096558,4.05597241955206,11599.7397929498,18.5564799662144
1973-08-01,13193.4136590849,20.6828078172759,45.7007281354823,4.25043566965614,11236.8629608153,18.6799873304123
1973-09-01,13197.9977715218,20.7286677015714,71.4769600492158,4.26148470145153,11222.8750242691,18.849802037692
1973-10-01,14367.4612494209,20.9121072387534,75.1534432064837,4.21620710027052,10136.2979689249,19.0504988650161
1973-11-01,14372.7691690847,21.04968689164,77.0835968640493,4.40781064064917,8549.87954706904,19.2203135722958
1973-12-01,14377.9564542107,21.1872665445265,74.1628352446643,4.59622190580486,8528.67446835475,19.3438209364937
1974-01-01,14565.3941164779,21.3707060817086,76.2666006068787,5.02386335116925,8281.92743911807,19.6680145700259
1974-02-01,14643.1558030317,21.6458653874816,78.3703659690931,4.953683063603,8108.34863451396,19.9304650794489
1974-03-01,14588.2573773174,21.9210246932547,76.4402123115274,4.82113585984096,8126.43307869043,20.1620334688275
1974-04-01,14642.0241908209,22.0127444618457,76.675098735464,4.86831215641246,8125.03371805179,20.4862271023597
